,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
22,GO_Biological_Process_2023,Heart Contraction (GO:0060047),17/41,0.0003130162043907867,0.0598405326394038,0,0,3.3080374053030304,26.693399349638423,KCNH2;MYLK2;KCNE5;ATP1A2;SGCZ;TRDN;ACTC1;MYL7;MYL2;CASQ2;DMD;TNNI3;SCN5A;SCN3B;SCN4B;SGCG;SCN2B
4406,KEGG_2021_Human,ECM-receptor interaction,27/88,0.0020220842457922,0.0626846116195594,0,0,2.068348045397226,12.831258734617125,TNXB;LAMA2;LAMA3;DMP1;HMMR;COMP;RELN;IBSP;SV2B;SPP1;TNR;CD36;VWF;LAMB3;FN1;NPNT;COL1A1;COL2A1;COL1A2;COL4A3;COL9A1;ITGA7;SDC1;COL6A6;COL6A5;FREM1;FREM2
23,GO_Biological_Process_2023,Antimicrobial Humoral Response (GO:0019730),32/100,0.000362822693655082,0.0664721410000581,0,0,2.201225140555509,17.43721690745115,CST9L;PGLYRP4;CCL13;CXCL9;DEFB1;CST9;CXCL13;CXCL2;WFDC2;JCHAIN;H2BC21;RNASE7;MUC7;IL36RN;CTSG;PRSS2;IGHA2;CAMP;H2BC8;TSLP;SLC11A1;NRG1;AZU1;PPBP;F3;H2BC12;CXCL10;CXCL11;H2BC11;S100A9;S100A7;PF4
24,GO_Biological_Process_2023,Potassium Ion Transport (GO:0006813),37/122,0.00043446576347386647,0.0764138384797836,0,0,2.036927731092437,15.76865891736465,KCNG1;SLC24A2;KCNG3;KCNE1;KCNK9;KCNC2;LRRC38;KCNA1;HPN;KCNA2;KCNA4;ATP1A2;KCNA5;KCNA6;AQP1;KCNMB1;KCNMB2;SLC17A7;KCNH1;KCNJ3;KCNH2;KCNF1;LRRC26;KCNJ6;KCNJ10;KCNH6;KCNB1;KCNIP2;KCNH8;KCNK15;KCNJ16;ABCC9;KCNAB1;SLC9A9;KCNK1;HCN2;HCN1
26,GO_Biological_Process_2023,Cardiac Conduction (GO:0061337),18/46,0.0004919666483143508,0.0764972512182652,0,0,3.002374862988673,22.86938846324239,KCNH2;KCNE1;KCNH6;KCNE4;KCNE5;CACNA2D1;CAV1;LOC102723475;CACNA1D;KCNA5;ANK2;SCN5A;SCN3B;SCN4B;HCN2;KCNJ3;HCN1;SCN2B
27,GO_Biological_Process_2023,Cellular Component Disassembly (GO:0022411),18/46,0.0004919666483143508,0.0764972512182652,0,0,3.002374862988673,22.86938846324239,PRSS1;GSN;TMPRSS6;CMA1;MMP1;MMP3;KLK4;MMP8;MMP9;MMP10;MMP12;ADAMTS5;MMP11;MMP13;CTSG;ADAM8;PRSS2;ELANE
28,GO_Biological_Process_2023,Metal Ion Transport (GO:0030001),48/171,0.0005045304265020904,0.0764972512182652,0,0,1.827625498954904,13.875117877175514,KCNG1;CATSPER1;KCNK9;KCNA1;KCNA2;ATP2A3;KCNA4;SLC5A12;CACNA1D;ATP1A2;KCNA5;CSN2;KCNA6;RYR3;AQP1;SLC5A5;NIPAL4;CACNG6;SCN11A;KCNMB1;SCN9A;KCNMB2;CDH23;SCN7A;SLC17A7;SCN5A;SCN3B;SCN3A;KCNH1;SCN1A;KCNJ3;SLC34A3;KCNF1;KCNJ6;KCNJ10;KCNIP2;CACNA2D1;SLC11A1;CAV1;KCNJ16;KCNAB1;SLC5A8;NMUR1;SCN4A;SCN2A;KCNK1;SCN4B;RAMP1
25,GO_Biological_Process_2023,Chemokine-Mediated Signaling Pathway (GO:0070098),21/57,0.0004545179223577258,0.0764972512182652,0,0,2.725374478574137,20.975226592101965,CCL14;CCL25;CCL13;CCL24;CXCL9;CCL23;CCL11;CCL21;CCL20;PPBP;CXCL13;CXCL2;CX3CL1;CXCL10;CXCL11;CXCL12;CCL7;THPO;CCL17;CCL16;PF4
29,GO_Biological_Process_2023,Regulation Of Secretion (GO:0051046),9/16,0.0005764451687298198,0.0844876468968339,0,0,5.997084548104956,44.73003672242743,PTPRN2;EGF;OAS2;PTPRN;OPRK1;NRG1;LACRT;GPLD1;CES1
30,GO_Biological_Process_2023,Cardiac Muscle Cell Action Potential (GO:0086001),13/29,0.0006473782475967598,0.0918232953123533,0,0,3.792050936435869,27.843436669662,KCNH2;KCNE1;KCNIP2;CACNA2D1;ATP1A2;CACNA1D;DMD;SCN5A;SCN3B;SCN4B;HCN2;SCN1A;SCN2B
